Studio,Status,Exclusivity,Game Identifier,Game Name,EN,CN,TH,VN,ID,KR,MY,PTBR,ESLA,RU,TR,BN,HI,RTP,Volatility,Highest Payout,Bonus,Display,Game Type,Game Originated,Gamification,Game Description,GAME DEMO,Brochure EN,Brochure CN,Game Assets,PSD File,Game Design Document,"Localisation
(Translation Progress)",UKGC Certification,GLI 19 Certification,PAGCOR Certification,"
Global Labs
Certification (Peru)"
KM,Launched,All,interstellar-run,INTERSTELLAR RUN,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,97.00%,HIGH,125X,-,"Portrait, Landscape","Next Gen, Instant, Casual, Crash",Western,,"Join the space race in Interstellar Run, a high-speed multiplayer game that launches three rockets into the cosmos, challenging you to predict how far they will fly before crashing. As soon as the round kicks off, the multiplier scale begins its upward climb. Be sure to cash out before the rockets explode to secure your winnings!",https://demo8.kingmidasdev.net/games/interstellar-run?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/interstellar-run_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/interstellar-run_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/interstellar-run_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/interstellar-run_psd.zip,Aviator Split 3.xlsx,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,All,elite-aviator-club,ELITE AVIATOR CLUB,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,97.00%,HIGH,125X,-,"Portrait, Landscape","Next Gen, Instant, Casual, Crash",Western,,"Elite Aviator Club is a crash game that will take you through the skies! Set your bet limit before the plane takes off into the horizon. The further the plane flies, the higher the multiplier climbs, promising bigger rewards for the fearless. Stay sharp and choose your moment to cash out before the plane vanishes from sight. ",https://demo8.kingmidasdev.net/games/elite-aviator-club?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/elite-aviator-club_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/elite-aviator-club_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/elite-aviator-club_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/elite-aviator-club_psd.zip,Aviator - Vanilla Base Game.xlsx,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,All,olympus-glory,OLYMPUS GLORY,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,96.61%,MEDIUM,12X,30,"Portrait, Landscape","Next Gen, Instant, Casual, Plinko",Western,,"KingMidas presents Olympus Glory, a plinko-style game that transports you to the majestic realm of Olympus, the home of Greek Gods! Release balls to align symbols and lay claim to bountiful rewards. Achieve even more with our special bingo feature, where completing horizontal matches unlocks exclusive rewards. Play now and aim for glory!",https://demo8.kingmidasdev.net/games/olympus-glory?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/olympus-glory_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/olympus-glory_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/olympus-glory_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/olympus-glory_psd.zip,Plinko Olympus Glory,Table Games Translations Masterlist,PENDING,CERTIFIED,CERTIFIED,IN PROGRESS
KM,Launched,All,toon-crash,TOON CRASH,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.00%,HIGH,125X,-,"Portrait, Landscape","Next Gen, Instant, Casual, Crash",All,,"Toon Crash is an exciting social multiplayer game where players place bets and decide when to cash out before the rocket explodes. Use the ""Cash Out"" button to withdraw your bet and winnings, or set up Auto Play for automatic bets and cashouts. Remember, if the rocket explodes before cashing out, your bet is lost. Bet wisely and aim for big multipliers in this intense game of chance!",https://demo8.kingmidasdev.net/games/toon-crash?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/toon-crash_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/toon-crash_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/toon-crash_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/toon-crash_psd.zip,Toon Chase.xlsx,Table Games Translations Masterlist,PENDING,PENDING,PENDING,IN PROGRESS
KM,Launched,All,iron-dome,IRON DOME,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.00%,HIGH,125X,-,"Portrait, Landscape","Next Gen, Instant, Casual, Crash",All,,"Iron Dome is an innovative social multiplayer crash game that combines strategy and excitement. In this game, three rockets launch simultaneously, and players must bet on one of the rockets. The multiplier increases as the rockets ascend, and players must cash out before their chosen rocket is destroyed to win. Can you time your exit perfectly to maximize your winnings? Join the action and find out in Iron Dome!",https://demo8.kingmidasdev.net/games/iron-dome?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/iron-dome_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/iron-dome_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/iron-dome_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/iron-dome_psd.zip,Iron Dome(Aviator 3),Table Games Translations Masterlist,PENDING,PENDING,PENDING,IN PROGRESS
KM,Launched,All,egyptian-mines,EGYPTIAN MINES,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,96.11%,MEDIUM,320X,200X,"Portrait, Landscape","Next Gen, Instant, Mines, Casual",Egypt,,"Egyptian Mines: Bingo Treasure blends the excitement of Minesweeper with bingo! Reveal tiles to uncover hidden symbols while avoiding bombs. The more tiles you uncover, the closer you get to completing bingo lines and unlocking treasure! As the tension builds with each revealed tile, your chances for a big win grow. Strategize wisely, uncover symbols, and claim your fortune!",https://demo8.kingmidasdev.net/games/egyptian-mines?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/egyptian-mines_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/egyptian-mines_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/egyptian-mines_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/egyptian-mines_psd.zip,Egyptian Mines GDD,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
KM,Retired,UFA Only,squid-game,UFA SQUID GAME,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.00%,MEDIUM,200X,-,"Portrait, Landscape","Next Gen, Instant, Mines, Casual",Korea,,"Enter the high-stakes Battle Royale arena of UFA Squid Game, where every choice matters! Select a tile for your avatar to stand on and place your bet. As the round begins, random tiles break. Stay on an unbroken tile to claim your share of the prize pool, but if it breaks, you’re out! Cracked tiles persist into the next round, adding to the suspense. If too few tiles remain, all reset for a fresh start. With payouts up to 200x, only the bold shall survive!",https://m13.ns86.kingdomhall729.com/games/squid-game,N.A,N.A,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/ufa-squid-game_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/ufa-squid-game_psd.zip,Squid Game Panic Battle Royale GDD,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
CG,Pre-Production,,street-fighter-6,STREET FIGHTER,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,97.00%,LOW,1.96X,-,"Portrait, Landscape","Next Gen, Virtual, Arcade",Western,,"Enter the world of Street Fighter Live, where iconic fighters clash in high-stakes battles. Choose your fighter and place your bets on the victor. Will it be a decisive Hadouken or a swift Shoryuken that secures the win? Once bets are locked, the fight begins. Place your wagers and join the action!",,,,,,Street Fighter GDD,N.A,PENDING,PENDING,PENDING,PENDING
KM,Post-Production,"All, Bingo+",toridama-crash,TORIDAMA CRASH,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.00%,HIGH,250X,-,"Portrait, Landscape","Next Gen, Instant, Casual, Crash",Japan,,"Toridama - Crash is a fun and wacky Japanese IP game where players bet on a rising multiplier, aiming to cash out before the motorcycle crashes. The longer you wait, the bigger the payout, but if you wait too long and the motorcycle explodes, you lose everything! Strategize to maximize your winnings and enjoy the quirky, hilarious cash-out scenes that make each round unpredictable and exciting. Laugh along as you experience the wild moments and unexpected crashes!",https://demo8.kingmidasdev.net/games/toridama-crash?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/toridama-crash_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/toridama-crash_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/toridama-crash_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/toridama-crash_psd.zip,Toridama Crash GDD,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
KM,Post-Production,"All, Bingo+",toridama-rps,TORIDAMA ROCK PAPER SCISSORS,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,96.82%,MEDIUM,6X,1000X,"Portrait, Landscape","Next Gen, Instant, Casual",Japan,,"Toridama - Rock, Paper, Scissors! takes the classic game to a whole new level with wacky, fast-paced action. Go head-to-head with quirky chickens, outsmart their moves, and claim your rewards! Watch out for golden hands, defeating them means even bigger payouts. With unpredictable twists and exciting stakes, every round is a wild battle of luck and strategy!",https://demo8.kingmidasdev.net/games/toridama-rps?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/toridama-rps_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/toridama-rps_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/toridama-rps_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/toridama-rps_psd.zip,Toridama RockPaperScissors GDD,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
KM,Pre-Production,,toridama-racing,TORIDAMA RACING,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,96.00%,MEDIUM,6X,2X,"Portrait, Landscape","Next Gen, Instant, Casual, Crash",Japan,,,,,,,,Toridama Racing GDD.xlsx,,PENDING,PENDING,PENDING,PENDING
KM,Post-Production,"All, Bingo+",toridama-tap-smash,TORIDAMA TAP SMASH,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,97.03%,HIGH,9999X,,"Portrait, Landscape","Next Gen, Instant, Casual, Arcade",Japan,,"Get ready for a smashing good time in Toridama Tap Smash! In this fast-paced clicker game, tap to help the quirky Toridama butt-smash through a tower of wacky objects. Each tap places a small bet with a chance to win random multipliers. Smash your way to the bottom and unlock a surprise jackpot! With vibrant animations, satisfying smash effects, and live social updates, it’s simple, addictive, and endlessly fun to play.

《TORIDAMA点击摔碎》 屁墩暴击9999倍，爽到停不下来！操控魔性TORIDAMA施展""屁墩神功""，狂砸奇葩道具塔！每次点击既是下注又是暴击，随机倍数奖励随时爆发！若能一路砸穿塔底，更能解锁神秘大奖！炫彩动画、解压特效、即時社交播报，简单上头停不下来！ ",https://demo8.kingmidasdev.net/games/toridama-tap-smash?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/toridama-tap-smash_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/toridama-tap-smash_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/toridama-tap-smash_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/toridama-tap-smash_psd.zip,Toridama Tap Smash GDD,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
KM,Launched,All,chicken-crossy,CHICKEN CROSSY,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,95.99%,HIGH,3138009.60x,-,"Portrait, Landscape","Next Gen, Instant, Casual, Crash",All,,"Get ready for high-stakes fun in Chicken Crossy! Guide your daring chicken through lanes of speeding traffic, collecting multipliers with every step. The further you go, the bigger the rewards! Cash out anytime to secure your wins or push your luck for the ultimate prize with payouts of over 3,000,000X! Cross to Win!",https://demo8.kingmidasdev.net/games/chicken-crossy?currency=EUR&test=1,https://publiccdn.kingdomhall729.com/Product+Sheet/chicken-crossy_product-brochure_en.pdf,https://publiccdn.kingdomhall729.com/Product+Sheet/chicken-crossy_product-brochure_cn.pdf,https://publiccdn.kingdomhall729.com/Zip_masterGames/KingMidas/chicken-crossy_assets.zip,https://publiccdn.kingdomhall729.com/MarketingAssetsPSD/KingMidas/chicken-crossy_psd.zip,Chicken Crossy,Table Games Translations Masterlist,PENDING,PENDING,PENDING,PENDING
CG,Pre-Production,All,tekken-8,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,"Portrait, Landscape","Next Gen, Virtual, Arcade",All,,,,,,,,,,PENDING,PENDING,PENDING,PENDING
